method,K,run,seed,covariance_type,silhouette,calinski_harabasz,davies_bouldin,aic,bic,n_iterations,converged,avg_max_membership,pct_ambiguous_0_70,cluster_sizes
gmm,4,4,3404,tied,0.1850997930368589,11613.37031797124,1.7863675456076984,-9299840.420961719,-9290741.369431565,16,True,0.9798467782564485,0.021785744199681715,"[6473, 92894, 10805, 9218]"
gmm,4,5,3405,tied,0.08474328686540478,3312.111916780885,3.8666123063998086,-9738125.278614681,-9729026.227084527,34,True,1.0,0.0,"[17768, 94897, 4076, 2649]"
gmm,5,1,3501,tied,0.1188432006651278,8656.15874904588,2.2437762915773503,-9480491.41228037,-9471004.754721241,26,True,0.9997948293010743,0.0,"[17316, 4038, 89009, 7267, 1760]"
gmm,5,2,3502,tied,0.10628182096677297,11725.708007364352,2.134346216753922,-9321585.586333092,-9312098.928773964,14,True,0.9229096916966555,0.11405477845715721,"[6473, 56872, 34598, 9220, 12227]"
gmm,5,3,3503,tied,0.1188432006651278,8656.15874904588,2.2437762915773503,-9480491.41258296,-9471004.755023832,25,True,0.9997948341489864,0.0,"[1760, 17316, 89009, 7267, 4038]"
gmm,5,4,3504,tied,0.08574451001428053,7557.74769662003,2.494812542785471,-10009166.43398286,-9999679.776423732,16,True,0.9997609776943138,0.0,"[19038, 54633, 4076, 6935, 34708]"
gmm,5,5,3505,tied,0.1188432006651278,8656.15874904588,2.2437762915773503,-9480491.412110955,-9471004.754551826,26,True,0.9997948293000466,0.0,"[17316, 89009, 4038, 7267, 1760]"
gmm,6,1,3601,tied,0.09606295582004361,8724.68294076405,2.286875171432997,-8901047.161333848,-8891172.897745745,20,True,0.9230808743655775,0.11278164000335036,"[34312, 6120, 1299, 52811, 13040, 11808]"
gmm,6,2,3602,tied,0.1098715621537698,13146.254255400987,1.914149949835808,-8442078.587898996,-8432204.324310893,17,True,0.9203147948838617,0.11738001507663959,"[31216, 16579, 8181, 9860, 51651, 1903]"
gmm,6,3,3603,tied,0.1098848724893957,13147.33091905605,1.9141364209667449,-8442059.194048489,-8432184.930460386,17,True,0.9204410807473579,0.11717899321551219,"[9865, 31214, 16579, 8181, 51648, 1903]"
gmm,6,4,3604,tied,0.09985835276360133,9048.413798174864,2.2068813722016953,-10133355.519515112,-10123481.25592701,18,True,0.9997374594921382,5.863137616215764e-05,"[17281, 54633, 4076, 34708, 1757, 6935]"
gmm,6,5,3605,tied,0.10988308348561815,13147.279081761113,1.9141339092448921,-8442063.008304674,-8432188.744716572,17,True,0.9204148566671789,0.11725437641343496,"[31213, 51650, 16579, 8181, 9864, 1903]"
gmm,7,1,3701,tied,0.07880522667478544,6408.180312589406,2.5954750670174027,-9345630.51395812,-9335368.644341046,17,True,0.9996616648304438,0.00015914230672585644,"[5610, 22421, 11896, 52586, 12471, 13005, 1401]"
gmm,7,2,3702,tied,0.10230208276208343,8344.545100666182,2.295460523218441,-10851214.723178227,-10840952.853561152,22,True,0.9996285197765375,0.0,"[22357, 19811, 3302, 48289, 17316, 1760, 6555]"
gmm,7,3,3703,tied,0.10230208276208343,8344.545100666182,2.295460523218441,-10851214.724021625,-10840952.85440455,22,True,0.9996285406829556,0.0,"[1760, 17316, 22357, 48289, 6555, 3302, 19811]"
gmm,7,4,3704,tied,0.10467638033999567,10277.18210219852,2.19340986731645,-10027855.147629203,-10017593.278012129,26,True,0.9081929269496538,0.09579529273808526,"[38706, 7999, 3531, 16198, 36431, 1938, 14587]"
gmm,7,5,3705,tied,0.10022663330167744,8146.046013754706,2.3776511704102883,-10325523.5466434,-10315261.677026326,21,True,0.9988907226887578,0.0005863137616215763,"[17279, 48289, 31448, 1759, 9985, 6554, 4076]"
gmm,8,1,3801,tied,0.1159256937250593,8927.230850358486,2.1378146033425502,-9380494.078480711,-9369844.602834662,17,True,0.9999574557170396,0.0,"[12875, 54036, 5348, 24415, 4073, 12906, 3793, 1944]"
gmm,8,2,3802,tied,0.10408354527506876,7503.843350092679,2.2408072112374278,-10625063.142042715,-10614413.666396666,34,True,0.9995695356385791,5.02554652818494e-05,"[22357, 6554, 817, 19076, 48289, 1936, 4076, 16285]"
gmm,8,3,3803,tied,0.10285248001677759,8998.389557132483,2.4955969196558794,-10142804.647136483,-10132155.171490435,25,True,0.90934836460857,0.11120696875785242,"[14587, 35105, 3531, 37385, 15876, 7953, 1913, 3040]"
gmm,8,4,3804,tied,0.10740174736363159,8109.448679719584,2.142601805395331,-10647903.651782298,-10637254.17613625,12,True,0.9996883196506535,0.0001507663958455482,"[12606, 54112, 6908, 14568, 3517, 3570, 1561, 22548]"
gmm,8,5,3805,tied,0.0925765334383503,8622.509006154663,2.4045402806496976,-10216569.727706073,-10205920.252060024,23,True,0.9202169789144437,0.11695284362174387,"[1760, 3586, 48230, 7164, 17085, 28146, 4076, 9343]"
