method,K,run,seed,covariance_type,silhouette,calinski_harabasz,davies_bouldin,aic,bic,n_iterations,converged,avg_max_membership,pct_ambiguous_0_70,cluster_sizes
gmm,4,3,3403,diag,0.12240779699459663,8413.630821160967,2.77093798256851,-15205499.794273008,-15202447.39679484,8,True,0.999998303464243,0.0,"[16948, 38486, 54956, 9000]"
gmm,4,4,3404,diag,0.09567877714395087,5620.623294144606,3.6658902761487413,-14430454.81140814,-14427402.413929973,13,True,0.9999999847912956,0.0,"[10338, 28439, 72048, 8565]"
gmm,4,5,3405,diag,0.12240779699459663,8413.630821160968,2.77093798256851,-15205499.794272747,-15202447.39679458,8,True,0.9999983034671207,0.0,"[54956, 38486, 9000, 16948]"
gmm,5,1,3501,diag,0.12641693416278169,7702.723697348041,2.9261431877530546,-17000085.6625574,-16996267.743172012,14,True,0.9999570304493551,1.6751821760616466e-05,"[9184, 59326, 22156, 14226, 14498]"
gmm,5,2,3502,diag,0.13066871702419738,7403.410177827089,3.4213926612283374,-16606852.069439074,-16603034.150053684,17,True,0.9998037382024926,0.00025965323728955524,"[54955, 41577, 13347, 7491, 2020]"
gmm,5,3,3503,diag,0.10091971817225066,7041.630584149941,3.083029550964479,-14445245.246422745,-14441427.327037355,17,True,0.9997958050821543,5.863137616215764e-05,"[33712, 50555, 7655, 15656, 11812]"
gmm,5,4,3504,diag,0.10060680975685857,7827.737061612217,2.812838102589682,-15958537.61015747,-15954719.690772079,13,True,0.9994177557521118,0.0004020437222547952,"[7546, 11981, 25815, 49131, 24917]"
gmm,5,5,3505,diag,0.10091971817225066,7041.630584149941,3.083029550964479,-14445245.246326499,-14441427.326941108,17,True,0.9997958050930869,5.863137616215764e-05,"[33712, 50555, 15656, 7655, 11812]"
gmm,6,1,3601,diag,0.0986634338085101,6975.265692131518,2.3559135886493587,-15623723.1854653,-15619139.744172689,9,True,0.9999163805512458,8.375910880308233e-05,"[34342, 5792, 6368, 2223, 49456, 21209]"
gmm,6,2,3602,diag,0.12181592113605037,7083.838246194562,3.5262259105341975,-17917188.81832234,-17912605.377029724,14,True,0.9998724172663601,0.0001256386632046235,"[54955, 7292, 13865, 1333, 29292, 12653]"
gmm,6,3,3603,diag,0.11388672954402762,5889.725424910007,3.9019554821328017,-16323104.421903871,-16318520.98061126,9,True,0.9999286513914127,2.51277326409247e-05,"[2810, 11757, 14498, 56254, 29000, 5071]"
gmm,6,4,3604,diag,0.15682880515574443,8108.100107232377,3.294241995191312,-16254329.274683278,-16249745.833390666,10,True,0.999972949455861,3.350364352123293e-05,"[4152, 3641, 62390, 22056, 14498, 12653]"
gmm,6,5,3605,diag,0.14297373902280344,8051.923410888044,2.690334265859972,-15642642.119854739,-15638058.678562127,7,True,0.9999242126735107,9.213501968339056e-05,"[18735, 10784, 59327, 11421, 14498, 4625]"
gmm,7,1,3701,diag,0.14933240225487837,9104.487564873056,2.2866080434577967,-18322149.80514261,-18316800.841942776,8,True,0.9998140606221328,0.00019264595024708937,"[5466, 41155, 22823, 19783, 12746, 2919, 14498]"
gmm,7,2,3702,diag,0.15371816030729832,7787.988854166371,3.219374103486063,-19256647.171807196,-19251298.20860736,11,True,0.9999616661291856,4.1879554401541165e-05,"[4823, 51549, 18699, 14498, 2604, 14573, 12644]"
gmm,7,3,3703,diag,0.15708111971552163,7128.743314861593,3.1736650546955474,-19228530.80090227,-19223181.837702435,11,True,0.9999848968624374,2.51277326409247e-05,"[12740, 59326, 5636, 14162, 902, 6201, 20423]"
gmm,7,4,3704,diag,0.14179736961798745,6945.104489724241,3.235844351267274,-19006572.251218103,-19001223.288018268,9,True,0.9999987261050611,0.0,"[15177, 5949, 14498, 6756, 59326, 16517, 1167]"
gmm,7,5,3705,diag,0.10041312471149426,6410.946411250152,3.3909659471077025,-19111182.347381484,-19105833.38418165,10,True,0.9999438994493515,9.213501968339056e-05,"[13618, 2308, 21815, 24917, 7307, 1778, 47647]"
gmm,8,1,3801,diag,0.1440645632834065,8073.632649713546,2.954645258971894,-19941148.596126817,-19935034.11101976,11,True,0.9992071332592724,0.0015579194237373315,"[12706, 14174, 22599, 36226, 13474, 4082, 13237, 2892]"
gmm,8,2,3802,diag,0.15204756498607036,7858.276348572445,2.9637212970639797,-18806447.34452989,-18800332.859422833,9,True,0.9999448727887331,1.6751821760616466e-05,"[3591, 18539, 603, 41153, 14166, 12727, 22822, 5789]"
gmm,8,3,3803,diag,0.12789243735649342,7444.456419467525,3.2259298964317695,-19958311.125253417,-19952196.64014636,9,True,0.9997199787903053,6.700728704246586e-05,"[14498, 36587, 21861, 15880, 2325, 12156, 2026, 14057]"
gmm,8,4,3804,diag,0.14995240580664862,6306.003053873531,3.1569207442864036,-19708331.951927416,-19702217.46682036,10,True,0.9996686197625025,0.0004439232766563364,"[11168, 4887, 20684, 14168, 2606, 59326, 1388, 5163]"
gmm,8,5,3805,diag,0.13844612501283626,7342.400235890512,3.4571721432003657,-19668764.778270565,-19662650.29316351,10,True,0.9999999417476857,0.0,"[16510, 22372, 1862, 11199, 14498, 13433, 38282, 1234]"
gmm,2,1,3201,tied,0.1133427604405015,11925.860243011513,2.8448356136259076,-9036893.123183284,-9028569.283711076,4,True,1.0,0.0,"[38575, 80815]"
